No.,Time,Source,Destination,Protocol,Length,Info
689,85.351381,192.168.178.52,192.168.178.59,RTP,153,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=28478, Time=3841340399, Mark"
696,85.367965,192.168.178.52,192.168.178.59,RTP,153,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=28479, Time=3841341359"
701,85.3896,192.168.178.52,192.168.178.59,RTP,158,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=28480, Time=3841342319"
703,85.409662,192.168.178.52,192.168.178.59,RTP,158,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=28481, Time=3841343279"
711,85.431055,192.168.178.52,192.168.178.59,RTP,161,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=28482, Time=3841344239"
715,85.449194,192.168.178.52,192.168.178.59,RTP,139,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=28483, Time=3841345199"
721,85.467687,192.168.178.52,192.168.178.59,RTP,145,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=28484, Time=3841346159"
732,85.48934,192.168.178.52,192.168.178.59,RTP,145,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=28485, Time=3841347119"
735,85.507031,192.168.178.52,192.168.178.59,RTP,162,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=28486, Time=3841348079"
736,85.512795,192.168.178.52,192.168.178.59,RTP,290,"PT=DynamicRTP-Type-99, SSRC=0xC2BC71B4, Seq=22525, Time=2750687584"
738,85.515892,192.168.178.52,192.168.178.59,RTP,994,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=27352, Time=2750687584"
741,85.524808,192.168.178.52,192.168.178.59,RTP,994,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=27353, Time=2750687584"
742,85.533163,192.168.178.52,192.168.178.59,RTP,160,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=28487, Time=3841349039"
743,85.540159,192.168.178.52,192.168.178.59,RTP,995,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=27354, Time=2750687584, Mark"
744,85.542406,192.168.178.52,192.168.178.59,RTP,290,"PT=DynamicRTP-Type-99, SSRC=0xC2BC71B4, Seq=22526, Time=2750690284"
749,85.554603,192.168.178.52,192.168.178.59,RTP,290,"PT=DynamicRTP-Type-99, SSRC=0xC2BC71B4, Seq=22528, Time=2750690554"
750,85.554651,192.168.178.52,192.168.178.59,RTP,290,"PT=DynamicRTP-Type-99, SSRC=0xC2BC71B4, Seq=22527, Time=2750690284"
751,85.554653,192.168.178.52,192.168.178.59,RTP,159,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=28488, Time=3841349999"
752,85.554656,192.168.178.52,192.168.178.59,RTP,997,"PT=DynamicRTP-Type-119, SSRC=0xC2BC71B4, Seq=22529, Time=2750687584, Mark"
753,85.554664,192.168.178.52,192.168.178.59,RTP,996,"PT=DynamicRTP-Type-119, SSRC=0xC2BC71B4, Seq=22530, Time=2750687584"
759,85.562342,192.168.178.52,192.168.178.59,RTP,996,"PT=DynamicRTP-Type-119, SSRC=0xC2BC71B4, Seq=22531, Time=2750687584"
760,85.562356,192.168.178.52,192.168.178.59,RTP,400,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=27355, Time=2750693254, Mark"
761,85.562357,192.168.178.52,192.168.178.59,RTP,290,"PT=DynamicRTP-Type-99, SSRC=0xC2BC71B4, Seq=22532, Time=2750693344"
765,85.568043,192.168.178.52,192.168.178.59,RTP,159,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=28489, Time=3841350959"
767,85.589001,192.168.178.52,192.168.178.59,RTP,155,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=28490, Time=3841351919"
770,85.608338,192.168.178.52,192.168.178.59,RTP,163,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=28491, Time=3841352879"
774,85.625042,192.168.178.52,192.168.178.59,RTP,290,"PT=DynamicRTP-Type-99, SSRC=0xC2BC71B4, Seq=22533, Time=2750699014"
775,85.625054,192.168.178.52,192.168.178.59,RTP,435,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=27356, Time=2750699014, Mark"
776,85.629206,192.168.178.52,192.168.178.59,RTP,155,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=28492, Time=3841353839"
777,85.629214,192.168.178.52,192.168.178.59,RTP,437,"PT=DynamicRTP-Type-119, SSRC=0xC2BC71B4, Seq=22534, Time=2750699014, Mark"
778,85.632365,192.168.178.52,192.168.178.59,RTP,437,"PT=DynamicRTP-Type-119, SSRC=0xC2BC71B4, Seq=22535, Time=2750699014, Mark"
779,85.634591,192.168.178.52,192.168.178.59,RTP,437,"PT=DynamicRTP-Type-119, SSRC=0xC2BC71B4, Seq=22536, Time=2750699014, Mark"
780,85.635678,192.168.178.52,192.168.178.59,RTP,437,"PT=DynamicRTP-Type-119, SSRC=0xC2BC71B4, Seq=22537, Time=2750699014, Mark"
782,85.649172,192.168.178.52,192.168.178.59,RTP,157,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=28493, Time=3841354799"
786,85.669705,192.168.178.52,192.168.178.59,RTP,160,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=28494, Time=3841355759"
790,85.688085,192.168.178.52,192.168.178.59,RTP,564,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=27357, Time=2750704774, Mark"
791,85.6881,192.168.178.52,192.168.178.59,RTP,154,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=28495, Time=3841356719"
794,85.707527,192.168.178.52,192.168.178.59,RTP,153,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=28496, Time=3841357679"
797,85.729246,192.168.178.52,192.168.178.59,RTP,151,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=28497, Time=3841358639"
801,85.748925,192.168.178.52,192.168.178.59,RTP,145,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=28498, Time=3841359599"
802,85.75224,192.168.178.52,192.168.178.59,RTP,919,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=27358, Time=2750710444, Mark"
806,85.769876,192.168.178.52,192.168.178.59,RTP,132,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=28499, Time=3841360559"
808,85.79041,192.168.178.52,192.168.178.59,RTP,142,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=28500, Time=3841361519"
810,85.810118,192.168.178.52,192.168.178.59,RTP,143,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=28501, Time=3841362479"
816,85.822961,192.168.178.52,192.168.178.59,RTP,697,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=27359, Time=2750716294, Mark"
818,85.8281,192.168.178.52,192.168.178.59,RTP,138,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=28502, Time=3841363439"
824,85.848114,192.168.178.52,192.168.178.59,RTP,137,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=28503, Time=3841364399"
828,85.86809,192.168.178.52,192.168.178.59,RTP,177,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=28504, Time=3841365359"
833,85.887069,192.168.178.52,192.168.178.59,RTP,178,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=28505, Time=3841366319"
835,85.906561,192.168.178.52,192.168.178.59,RTP,961,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=27360, Time=2750723494, Mark"
836,85.908679,192.168.178.52,192.168.178.59,RTP,146,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=28506, Time=3841367279"
840,85.930271,192.168.178.52,192.168.178.59,RTP,159,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=28507, Time=3841368239"
842,85.947681,192.168.178.52,192.168.178.59,RTP,146,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=28508, Time=3841369199"
850,85.961642,192.168.178.52,192.168.178.59,RTP,1029,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=27361, Time=2750729164, Mark"
852,85.968738,192.168.178.52,192.168.178.59,RTP,142,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=28509, Time=3841370159"
