No.,Time,Source,Destination,Protocol,Length,Info
1316,40.346944,192.168.178.52,192.168.178.59,RTP,153,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=28478, Time=3841340399, Mark"
1322,40.364777,192.168.178.52,192.168.178.59,RTP,153,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=28479, Time=3841341359"
1328,40.385103,192.168.178.52,192.168.178.59,RTP,158,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=28480, Time=3841342319"
1332,40.405264,192.168.178.52,192.168.178.59,RTP,158,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=28481, Time=3841343279"
1339,40.427436,192.168.178.52,192.168.178.59,RTP,161,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=28482, Time=3841344239"
1343,40.445837,192.168.178.52,192.168.178.59,RTP,139,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=28483, Time=3841345199"
1351,40.46445,192.168.178.52,192.168.178.59,RTP,145,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=28484, Time=3841346159"
1358,40.484793,192.168.178.52,192.168.178.59,RTP,145,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=28485, Time=3841347119"
1363,40.504735,192.168.178.52,192.168.178.59,RTP,162,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=28486, Time=3841348079"
1365,40.509108,192.168.178.52,192.168.178.59,RTP,290,"PT=DynamicRTP-Type-99, SSRC=0xC2BC71B4, Seq=22525, Time=2750687584"
1366,40.512928,192.168.178.52,192.168.178.59,RTP,994,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=27352, Time=2750687584"
1368,40.520626,192.168.178.52,192.168.178.59,RTP,994,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=27353, Time=2750687584"
1370,40.52954,192.168.178.52,192.168.178.59,RTP,160,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=28487, Time=3841349039"
1371,40.529871,192.168.178.52,192.168.178.59,RTP,995,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=27354, Time=2750687584, Mark"
1373,40.539317,192.168.178.52,192.168.178.59,RTP,290,"PT=DynamicRTP-Type-99, SSRC=0xC2BC71B4, Seq=22526, Time=2750690284"
1379,40.550916,192.168.178.52,192.168.178.59,RTP,290,"PT=DynamicRTP-Type-99, SSRC=0xC2BC71B4, Seq=22528, Time=2750690554"
1380,40.551322,192.168.178.52,192.168.178.59,RTP,290,"PT=DynamicRTP-Type-99, SSRC=0xC2BC71B4, Seq=22527, Time=2750690284"
1381,40.551473,192.168.178.52,192.168.178.59,RTP,159,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=28488, Time=3841349999"
1382,40.551602,192.168.178.52,192.168.178.59,RTP,997,"PT=DynamicRTP-Type-119, SSRC=0xC2BC71B4, Seq=22529, Time=2750687584, Mark"
1383,40.551709,192.168.178.52,192.168.178.59,RTP,996,"PT=DynamicRTP-Type-119, SSRC=0xC2BC71B4, Seq=22530, Time=2750687584"
1385,40.554928,192.168.178.52,192.168.178.59,RTP,996,"PT=DynamicRTP-Type-119, SSRC=0xC2BC71B4, Seq=22531, Time=2750687584"
